class,precision,sensitivity,f1,specificity,accuracy,mcc,dor,TP,FP,FN,TN,anno_set,classifier,metric_type,organ,magnification,model,dropoutFraction,layerDepth,numberOfEpochs,trainPercent,validationPercent,patience,checkPointAccuracy,augmentColor,augmentGeometry,balanceClasses,elasticDeform,fixedDataSeed,augmentation,overlapPredict,pretrained,focalLoss,filterSize,kernelIncrease,normalization,magLayers,model_name,backbone_name,encoder_freeze,decoder_use_batchnorm,middleBlocks,loss,optimizer,learningRate,useFP16,useAllGPUs,time_evaluated,balance only,balance + elastic
Background,0.910129407,0.960417949,0.93459769,0.983032344,0.979600326,0.922991762,1405.749518,10431035,1030011,429898,59674368,Heart_Lesions_10x_Static200618_Cons3,Heart_Lesions_10x_Static200618_Cons3_AE_Xception_DO_0.2_AC_1_AG_0_BC_0_ED_0_MN_loss_2020_6_18_19_57,pixel,Heart,10,AE_Xception,0.2,,30,70,15,30,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,color,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,FALSE,
Tissue,0.951836718,0.976470192,0.963996113,0.805243909,0.941820599,0.814448946,171.5840876,55740096,2820469,1343158,11661589,Heart_Lesions_10x_Static200618_Cons3,Heart_Lesions_10x_Static200618_Cons3_AE_Xception_DO_0.2_AC_1_AG_0_BC_0_ED_0_MN_loss_2020_6_18_19_57,pixel,Heart,10,AE_Xception,0.2,,30,70,15,30,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,color,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,FALSE,
Lesions,0.787949221,0.335906107,0.471016061,0.995182178,0.961823544,0.499509881,104.4817048,1216358,327343,2404767,67616844,Heart_Lesions_10x_Static200618_Cons3,Heart_Lesions_10x_Static200618_Cons3_AE_Xception_DO_0.2_AC_1_AG_0_BC_0_ED_0_MN_loss_2020_6_18_19_57,pixel,Heart,10,AE_Xception,0.2,,30,70,15,30,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,color,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,FALSE,
Background,0.900796569,0.968852123,0.933585729,0.980910059,0.979080116,0.922050503,1598.282919,10522638,1158843,338295,59545536,Heart_Lesions_10x_Static200618_Cons3,Heart_Lesions_10x_Static200618_Cons3_AE_Xception_DO_0.2_AC_1_AG_0_BC_1_ED_0_MN_loss_2020_6_18_19_57,pixel,Heart,10,AE_Xception,0.2,,30,70,15,30,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,"color, balance",TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,TRUE,FALSE
Tissue,0.970473522,0.953002101,0.961658463,0.8857121,0.939385201,0.817846835,157.1475952,54400461,1655124,2682793,12826934,Heart_Lesions_10x_Static200618_Cons3,Heart_Lesions_10x_Static200618_Cons3_AE_Xception_DO_0.2_AC_1_AG_0_BC_1_ED_0_MN_loss_2020_6_18_19_57,pixel,Heart,10,AE_Xception,0.2,,30,70,15,30,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,"color, balance",TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,TRUE,FALSE
Lesions,0.597915338,0.632114881,0.614539671,0.977344949,0.959876693,0.593649203,74.12532819,2288967,1539279,1332158,66404908,Heart_Lesions_10x_Static200618_Cons3,Heart_Lesions_10x_Static200618_Cons3_AE_Xception_DO_0.2_AC_1_AG_0_BC_1_ED_0_MN_loss_2020_6_18_19_57,pixel,Heart,10,AE_Xception,0.2,,30,70,15,30,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,"color, balance",TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,TRUE,FALSE
Background,0.918546653,0.959570785,0.938610669,0.984775892,0.980950701,0.927653287,1535.278846,10421834,924170,439099,59780209,Heart_Lesions_10x_Static200618_Cons3,Heart_Lesions_10x_Static200618_Cons3_AE_Xception_DO_0.2_AC_1_AG_0_BC_1_ED_1_MN_loss_2020_6_18_19_57,pixel,Heart,10,AE_Xception,0.2,,30,70,15,30,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,"color, balance, elastic",TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,FALSE,TRUE
Tissue,0.962022826,0.97004449,0.966017006,0.849058953,0.945561685,0.829454311,182.1568127,55373296,2185937,1709958,12296121,Heart_Lesions_10x_Static200618_Cons3,Heart_Lesions_10x_Static200618_Cons3_AE_Xception_DO_0.2_AC_1_AG_0_BC_1_ED_1_MN_loss_2020_6_18_19_57,pixel,Heart,10,AE_Xception,0.2,,30,70,15,30,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,"color, balance, elastic",TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,FALSE,TRUE
Lesions,0.698955857,0.513452311,0.592012673,0.988213856,0.964191451,0.581218819,88.48178588,1859275,800800,1761850,67143387,Heart_Lesions_10x_Static200618_Cons3,Heart_Lesions_10x_Static200618_Cons3_AE_Xception_DO_0.2_AC_1_AG_0_BC_1_ED_1_MN_loss_2020_6_18_19_57,pixel,Heart,10,AE_Xception,0.2,,30,70,15,30,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,"color, balance, elastic",TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,FALSE,TRUE
Background,0.927493394,0.934948314,0.931205934,0.9869232,0.97903536,0.918849755,1084.70324,10154411,793819,706522,59910560,Heart_Lesions_10x_Static200618_Cons3,Heart_Lesions_10x_Static200618_Cons3_AE_Xception_DO_0.2_AC_1_AG_1_BC_0_ED_0_MN_loss_2020_6_18_19_57,pixel,Heart,10,AE_Xception,0.2,,30,70,15,30,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,"color, geo",TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,FALSE,
